Town,Population,Crime Rate per 1000,Total NIBRS Crimes,Crimes Against Persons,Crimes Against Property,Crimes Against Society
Connecticut,3645036,38.123,138959,30354,98277,10328
Ansonia,18942,42.498,805,252,471,82
Avon,18861,24.336,459,17,436,6
Berlin,20230,47.751,966,45,904,17
Bethel,20863,8.915,186,23,154,9
Bloomfield,21594,49.458,1068,162,850,56
Branford,28132,38.142,1073,146,905,22
Bridgeport,148483,35.007,5198,1843,3120,235
Bristol,61609,28.843,1777,326,1369,82
Brookfield,"17580
",20.193,355,64,276,15
Canton,10085,7.139,72,3,62,7
Cheshire,29194,16.613,485,98,382,5
Clinton,13516,37.733,510,49,434,27
Coventry,12320,24.188,298,58,235,5
Cromwell,14377,52.793,759,110,611,38
Danbury,87327,35.842,3130,1051,1833,246
Darien,22173,27.466,609,41,549,19
Derby,12382,64.771,802,242,530,30
East Hampton,13094,20.162,264,21,241,2
East Hartford,50625,56.04,2837,533,2193,111
East Haven,27614,66.452,1835,414,1313,108
East Lyme (Niantic),18952,12.294,233,9,180,44
East Windsor,11178,57.166,639,69,533,37
Easton,7653,16.072,123,6,117,0
Enfield,41271,49.817,2056,323,1466,267
Fairfield,63588,33.984,2161,217,1908,36
Farmington,26754,35.808,958,55,855,48
Glastonbury,35256,35.682,1258,49,1156,53
Granby,11113,24.836,276,36,234,6
Greenwich,63777,17.075,1089,59,986,44
Groton City,9343,41.742,390,146,136,108
Groton Long Point,521,17.274,9,0,9,0
Groton Town,27582,23.312,643,139,407,97
Guilford,22022,22.932,505,27,465,13
Hamden,60691,66.995,4066,727,3260,79
Hartford,120710,81.021,9780,2011,6575,1194
Ledyard,15490,9.813,152,58,79,15
Madison,17530,6.731,118,14,103,1
Manchester,59408,50.936,3026,807,1917,302
Meriden,60054,56.499,3393,1070,1997,326
Middlebury,7922,15.4,122,18,102,2
Middletown,49284,30.476,1502,216,1145,141
Milford,53011,45.01,2386,362,1986,38
Monroe,18811,20.041,377,41,330,6
Montville^,17798,4.214,75,17,42,16
Naugatuck,31790,30.639,974,285,617,72
New Britain,74609,79.052,5898,2171,3033,694
New Canaan,20897,12.825,268,11,246,11
New Haven,141481,109.301,15464,4274,10150,1040
New London,28317,40.47,1146,321,599,226
New Milford,28408,15.277,434,42,366,26
Newington,30304,56.725,1719,127,1511,81
Newtown,27835,11.999,334,49,268,17
North Branford,13443,22.168,298,41,252,5
North Haven,24078,40.203,968,39,916,13
Norwalk,91639,38.204,3501,839,2467,195
Norwich,40000,52.65,2106,844,946,316
Old Saybrook,10569,34.724,367,53,295,19
Orange,14272,64.182,916,53,847,16
Plainfield,15227,5.122,78,22,12,44
Plainville,17476,58.022,1014,211,787,16
Plymouth,11743,22.567,265,82,174,9
Portland,9462,10.252,97,18,76,3
Putnam (split with CSP),9339,34.907,326,128,186,12
Redding,8754,13.137,115,5,110,0
Ridgefield,25030,2.157,54,3,51,0
Rocky Hill,20673,39.569,818,95,686,37
Seymour,16846,18.105,305,111,171,23
Shelton,42434,14.658,622,97,498,27
Simsbury,25160,25.079,631,43,578,10
South Windsor,26743,31.036,830,42,742,46
Southington,43900,45.581,2001,214,1729,58
Stamford,136512,36.759,5018,1625,3046,347
Stonington,18559,25.486,473,151,287,35
Stratford,52596,35.725,1879,312,1502,65
Suffield,15750,15.556,245,25,212,8
Thomaston,7484,16.435,123,13,107,3
Torrington,35633,35.725,1273,456,784,33
Trumbull,37350,42.49,1587,216,1319,52
Vernon,30838,27.628,852,108,634,110
Wallingford,43902,11.321,497,32,448,17
Waterbury,115380,81.071,9354,2396,6159,799
Waterford,19617,23.5,461,110,317,34
Watertown,22229,32.075,713,107,578,28
West Hartford,64423,56.657,3650,208,3192,250
West Haven,54791,35.426,1941,335,1464,142
Weston,10373,6.652,69,12,57,0
Westport,27611,16.407,453,18,429,6
Wethersfield,27076,26.703,723,85,609,29
Wilton,18468,19.006,351,47,289,15
Winchester,10257,19.889,204,26,163,15
Windham / Willimantic,24416,33.298,813,220,301,292
Windsor,29469,40.11,1182,98,1054,30
Windsor Locks,12518,37.706,472,154,298,20
Wolcott,16234,3.511,57,0,53,4
Woodbridge,9046,19.346,175,9,163,3
